k,run,sa_fit,drstasa_fit,wall_time,sa_time,drstasa_time,critical_time
2,0,3000017731566.030762,1000016275663.054321,131.804249,224.232554,32.258555,0.000022
2,1,2000019523263.686523,29762542.438972,139.295306,235.670155,33.202491,0.000046
2,2,5000012935931.636719,1000016381123.248169,135.236386,228.553284,33.040071,0.000020
2,3,3000017285900.302246,29137225.765334,142.551512,249.736491,32.860372,0.000023
2,4,2000015291941.068848,29755725.939651,134.914326,234.978739,33.391094,0.000019
4,0,2000012441125.756836,14427456.921970,99.556034,186.282889,32.096523,0.000041
4,1,2000013343651.014893,14425246.674539,97.234455,201.368802,32.667332,0.000029
4,2,3000011008575.939941,14529030.028885,96.011491,185.600769,31.753431,0.000026
4,3,2000013492585.931396,14458573.362134,115.510796,227.493697,36.313547,0.000031
4,4,2000012458450.829834,14553155.136130,124.819440,225.393535,36.720713,0.000033
6,0,2000015786336.762695,11047076.217885,112.189601,170.952113,31.562514,0.000032
6,1,5000010897982.492188,11186535.857171,116.877849,171.066334,31.300013,0.000042
6,2,3000008914256.821289,11135926.958251,113.359191,174.910090,29.650471,0.000030
6,3,2000010888922.036133,11134128.380085,95.973321,146.221529,26.793606,0.000025
6,4,1000012122369.978027,11188778.460182,93.204011,147.267115,26.087393,0.000028
8,0,2000008596435.014648,9396488.109228,48.391143,127.956887,24.081125,0.000039
8,1,1000009635750.947510,9562987.701033,52.383205,129.670745,24.030227,0.000035
8,2,2000007993908.309570,9396237.184408,54.547319,148.605947,24.472380,0.000033
8,3,1000008810800.949219,9389789.709451,47.495027,131.351511,24.260485,0.000037
8,4,3000008112190.000488,9491469.835993,50.209707,126.663500,24.238336,0.000037
